,0,1
0,AAC_A,80
1,AAC_R,628
2,AAC_N,822
3,AAC_D,767
4,AAC_C,23
5,AAC_Q,991
6,AAC_E,745
7,AAC_G,679
8,AAC_H,858
9,AAC_I,901
10,AAC_L,558
11,AAC_K,685
12,AAC_M,893
13,AAC_F,868
14,AAC_P,375
15,AAC_S,128
16,AAC_T,877
17,AAC_W,1151
18,AAC_Y,703
19,AAC_V,513
20,CKSAAGP_alphaticr.alphaticr.gap0,92
21,CKSAAGP_alphaticr.aromatic.gap0,606
22,CKSAAGP_alphaticr.postivecharger.gap0,1094
23,CKSAAGP_alphaticr.negativecharger.gap0,234
24,CKSAAGP_alphaticr.uncharger.gap0,452
25,CKSAAGP_aromatic.alphaticr.gap0,756
26,CKSAAGP_aromatic.aromatic.gap0,1564
27,CKSAAGP_aromatic.postivecharger.gap0,1406
28,CKSAAGP_aromatic.negativecharger.gap0,928
29,CKSAAGP_aromatic.uncharger.gap0,1459
30,CKSAAGP_postivecharger.alphaticr.gap0,908
31,CKSAAGP_postivecharger.aromatic.gap0,2542
32,CKSAAGP_postivecharger.postivecharger.gap0,311
33,CKSAAGP_postivecharger.negativecharger.gap0,1105
34,CKSAAGP_postivecharger.uncharger.gap0,754
35,CKSAAGP_negativecharger.alphaticr.gap0,420
36,CKSAAGP_negativecharger.aromatic.gap0,1759
37,CKSAAGP_negativecharger.postivecharger.gap0,2183
38,CKSAAGP_negativecharger.negativecharger.gap0,952
39,CKSAAGP_negativecharger.uncharger.gap0,1305
40,CKSAAGP_uncharger.alphaticr.gap0,673
41,CKSAAGP_uncharger.aromatic.gap0,803
42,CKSAAGP_uncharger.postivecharger.gap0,923
43,CKSAAGP_uncharger.negativecharger.gap0,871
44,CKSAAGP_uncharger.uncharger.gap0,57
45,CKSAAGP_alphaticr.alphaticr.gap1,160
46,CKSAAGP_alphaticr.aromatic.gap1,501
47,CKSAAGP_alphaticr.postivecharger.gap1,817
48,CKSAAGP_alphaticr.negativecharger.gap1,127
49,CKSAAGP_alphaticr.uncharger.gap1,789
50,CKSAAGP_aromatic.alphaticr.gap1,1068
51,CKSAAGP_aromatic.aromatic.gap1,2091
52,CKSAAGP_aromatic.postivecharger.gap1,1700
53,CKSAAGP_aromatic.negativecharger.gap1,1609
54,CKSAAGP_aromatic.uncharger.gap1,1017
55,CKSAAGP_postivecharger.alphaticr.gap1,1804
56,CKSAAGP_postivecharger.aromatic.gap1,2056
57,CKSAAGP_postivecharger.postivecharger.gap1,845
58,CKSAAGP_postivecharger.negativecharger.gap1,866
59,CKSAAGP_postivecharger.uncharger.gap1,246
60,CKSAAGP_negativecharger.alphaticr.gap1,29
61,CKSAAGP_negativecharger.aromatic.gap1,1659
62,CKSAAGP_negativecharger.postivecharger.gap1,1074
63,CKSAAGP_negativecharger.negativecharger.gap1,1624
64,CKSAAGP_negativecharger.uncharger.gap1,793
65,CKSAAGP_uncharger.alphaticr.gap1,691
66,CKSAAGP_uncharger.aromatic.gap1,970
67,CKSAAGP_uncharger.postivecharger.gap1,717
68,CKSAAGP_uncharger.negativecharger.gap1,1009
69,CKSAAGP_uncharger.uncharger.gap1,137
70,CKSAAGP_alphaticr.alphaticr.gap2,262
71,CKSAAGP_alphaticr.aromatic.gap2,1010
72,CKSAAGP_alphaticr.postivecharger.gap2,805
73,CKSAAGP_alphaticr.negativecharger.gap2,837
74,CKSAAGP_alphaticr.uncharger.gap2,826
75,CKSAAGP_aromatic.alphaticr.gap2,787
76,CKSAAGP_aromatic.aromatic.gap2,1539
77,CKSAAGP_aromatic.postivecharger.gap2,2510
78,CKSAAGP_aromatic.negativecharger.gap2,1875
79,CKSAAGP_aromatic.uncharger.gap2,819
80,CKSAAGP_postivecharger.alphaticr.gap2,1033
81,CKSAAGP_postivecharger.aromatic.gap2,967
82,CKSAAGP_postivecharger.postivecharger.gap2,993
83,CKSAAGP_postivecharger.negativecharger.gap2,1229
84,CKSAAGP_postivecharger.uncharger.gap2,566
85,CKSAAGP_negativecharger.alphaticr.gap2,750
86,CKSAAGP_negativecharger.aromatic.gap2,1114
87,CKSAAGP_negativecharger.postivecharger.gap2,2329
88,CKSAAGP_negativecharger.negativecharger.gap2,1303
89,CKSAAGP_negativecharger.uncharger.gap2,1282
90,CKSAAGP_uncharger.alphaticr.gap2,909
91,CKSAAGP_uncharger.aromatic.gap2,974
92,CKSAAGP_uncharger.postivecharger.gap2,169
93,CKSAAGP_uncharger.negativecharger.gap2,928
94,CKSAAGP_uncharger.uncharger.gap2,70
95,CKSAAGP_alphaticr.alphaticr.gap3,173
96,CKSAAGP_alphaticr.aromatic.gap3,735
97,CKSAAGP_alphaticr.postivecharger.gap3,1445
98,CKSAAGP_alphaticr.negativecharger.gap3,1126
99,CKSAAGP_alphaticr.uncharger.gap3,769
100,CKSAAGP_aromatic.alphaticr.gap3,905
101,CKSAAGP_aromatic.aromatic.gap3,963
102,CKSAAGP_aromatic.postivecharger.gap3,904
103,CKSAAGP_aromatic.negativecharger.gap3,891
104,CKSAAGP_aromatic.uncharger.gap3,188
105,CKSAAGP_postivecharger.alphaticr.gap3,875
106,CKSAAGP_postivecharger.aromatic.gap3,954
107,CKSAAGP_postivecharger.postivecharger.gap3,947
108,CKSAAGP_postivecharger.negativecharger.gap3,1556
109,CKSAAGP_postivecharger.uncharger.gap3,1065
110,CKSAAGP_negativecharger.alphaticr.gap3,997
111,CKSAAGP_negativecharger.aromatic.gap3,1343
112,CKSAAGP_negativecharger.postivecharger.gap3,1542
113,CKSAAGP_negativecharger.negativecharger.gap3,820
114,CKSAAGP_negativecharger.uncharger.gap3,1128
115,CKSAAGP_uncharger.alphaticr.gap3,726
116,CKSAAGP_uncharger.aromatic.gap3,990
117,CKSAAGP_uncharger.postivecharger.gap3,808
118,CKSAAGP_uncharger.negativecharger.gap3,978
119,CKSAAGP_uncharger.uncharger.gap3,54
120,CKSAAGP_alphaticr.alphaticr.gap4,85
121,CKSAAGP_alphaticr.aromatic.gap4,895
122,CKSAAGP_alphaticr.postivecharger.gap4,1481
123,CKSAAGP_alphaticr.negativecharger.gap4,1055
124,CKSAAGP_alphaticr.uncharger.gap4,840
125,CKSAAGP_aromatic.alphaticr.gap4,965
126,CKSAAGP_aromatic.aromatic.gap4,1526
127,CKSAAGP_aromatic.postivecharger.gap4,2138
128,CKSAAGP_aromatic.negativecharger.gap4,1834
129,CKSAAGP_aromatic.uncharger.gap4,1337
130,CKSAAGP_postivecharger.alphaticr.gap4,951
131,CKSAAGP_postivecharger.aromatic.gap4,2386
132,CKSAAGP_postivecharger.postivecharger.gap4,1522
133,CKSAAGP_postivecharger.negativecharger.gap4,2349
134,CKSAAGP_postivecharger.uncharger.gap4,771
135,CKSAAGP_negativecharger.alphaticr.gap4,856
136,CKSAAGP_negativecharger.aromatic.gap4,1162
137,CKSAAGP_negativecharger.postivecharger.gap4,997
138,CKSAAGP_negativecharger.negativecharger.gap4,1157
139,CKSAAGP_negativecharger.uncharger.gap4,945
140,CKSAAGP_uncharger.alphaticr.gap4,632
141,CKSAAGP_uncharger.aromatic.gap4,950
142,CKSAAGP_uncharger.postivecharger.gap4,906
143,CKSAAGP_uncharger.negativecharger.gap4,1736
144,CKSAAGP_uncharger.uncharger.gap4,4
145,CKSAAGP_alphaticr.alphaticr.gap5,181
146,CKSAAGP_alphaticr.aromatic.gap5,259
147,CKSAAGP_alphaticr.postivecharger.gap5,1194
148,CKSAAGP_alphaticr.negativecharger.gap5,963
149,CKSAAGP_alphaticr.uncharger.gap5,715
150,CKSAAGP_aromatic.alphaticr.gap5,1775
151,CKSAAGP_aromatic.aromatic.gap5,2723
152,CKSAAGP_aromatic.postivecharger.gap5,2196
153,CKSAAGP_aromatic.negativecharger.gap5,3007
154,CKSAAGP_aromatic.uncharger.gap5,1088
155,CKSAAGP_postivecharger.alphaticr.gap5,1006
