,0,1
0,AAC_A,35
1,AAC_R,159
2,AAC_N,769
3,AAC_D,624
4,AAC_C,9
5,AAC_Q,811
6,AAC_E,694
7,AAC_G,747
8,AAC_H,1046
9,AAC_I,760
10,AAC_L,191
11,AAC_K,560
12,AAC_M,1080
13,AAC_F,973
14,AAC_P,656
15,AAC_S,2
16,AAC_T,1172
17,AAC_W,726
18,AAC_Y,701
19,AAC_V,218
20,CKSAAGP_alphaticr.alphaticr.gap0,25
21,CKSAAGP_alphaticr.aromatic.gap0,522
22,CKSAAGP_alphaticr.postivecharger.gap0,719
23,CKSAAGP_alphaticr.negativecharger.gap0,135
24,CKSAAGP_alphaticr.uncharger.gap0,408
25,CKSAAGP_aromatic.alphaticr.gap0,1554
26,CKSAAGP_aromatic.aromatic.gap0,2068
27,CKSAAGP_aromatic.postivecharger.gap0,1913
28,CKSAAGP_aromatic.negativecharger.gap0,1013
29,CKSAAGP_aromatic.uncharger.gap0,1573
30,CKSAAGP_postivecharger.alphaticr.gap0,626
31,CKSAAGP_postivecharger.aromatic.gap0,1495
32,CKSAAGP_postivecharger.postivecharger.gap0,111
33,CKSAAGP_postivecharger.negativecharger.gap0,1727
34,CKSAAGP_postivecharger.uncharger.gap0,243
35,CKSAAGP_negativecharger.alphaticr.gap0,42
36,CKSAAGP_negativecharger.aromatic.gap0,2397
37,CKSAAGP_negativecharger.postivecharger.gap0,1592
38,CKSAAGP_negativecharger.negativecharger.gap0,1426
39,CKSAAGP_negativecharger.uncharger.gap0,1057
40,CKSAAGP_uncharger.alphaticr.gap0,858
41,CKSAAGP_uncharger.aromatic.gap0,516
42,CKSAAGP_uncharger.postivecharger.gap0,108
43,CKSAAGP_uncharger.negativecharger.gap0,1166
44,CKSAAGP_uncharger.uncharger.gap0,58
45,CKSAAGP_alphaticr.alphaticr.gap1,36
46,CKSAAGP_alphaticr.aromatic.gap1,303
47,CKSAAGP_alphaticr.postivecharger.gap1,1272
48,CKSAAGP_alphaticr.negativecharger.gap1,72
49,CKSAAGP_alphaticr.uncharger.gap1,428
50,CKSAAGP_aromatic.alphaticr.gap1,1032
51,CKSAAGP_aromatic.aromatic.gap1,1626
52,CKSAAGP_aromatic.postivecharger.gap1,1275
53,CKSAAGP_aromatic.negativecharger.gap1,1239
54,CKSAAGP_aromatic.uncharger.gap1,920
55,CKSAAGP_postivecharger.alphaticr.gap1,786
56,CKSAAGP_postivecharger.aromatic.gap1,1624
57,CKSAAGP_postivecharger.postivecharger.gap1,313
58,CKSAAGP_postivecharger.negativecharger.gap1,135
59,CKSAAGP_postivecharger.uncharger.gap1,336
60,CKSAAGP_negativecharger.alphaticr.gap1,1
61,CKSAAGP_negativecharger.aromatic.gap1,1572
62,CKSAAGP_negativecharger.postivecharger.gap1,1233
63,CKSAAGP_negativecharger.negativecharger.gap1,1252
64,CKSAAGP_negativecharger.uncharger.gap1,704
65,CKSAAGP_uncharger.alphaticr.gap1,704
66,CKSAAGP_uncharger.aromatic.gap1,1292
67,CKSAAGP_uncharger.postivecharger.gap1,431
68,CKSAAGP_uncharger.negativecharger.gap1,1157
69,CKSAAGP_uncharger.uncharger.gap1,46
70,CKSAAGP_alphaticr.alphaticr.gap2,126
71,CKSAAGP_alphaticr.aromatic.gap2,939
72,CKSAAGP_alphaticr.postivecharger.gap2,913
73,CKSAAGP_alphaticr.negativecharger.gap2,756
74,CKSAAGP_alphaticr.uncharger.gap2,552
75,CKSAAGP_aromatic.alphaticr.gap2,248
76,CKSAAGP_aromatic.aromatic.gap2,1325
77,CKSAAGP_aromatic.postivecharger.gap2,2258
78,CKSAAGP_aromatic.negativecharger.gap2,1693
79,CKSAAGP_aromatic.uncharger.gap2,1227
80,CKSAAGP_postivecharger.alphaticr.gap2,754
81,CKSAAGP_postivecharger.aromatic.gap2,1034
82,CKSAAGP_postivecharger.postivecharger.gap2,1239
83,CKSAAGP_postivecharger.negativecharger.gap2,1278
84,CKSAAGP_postivecharger.uncharger.gap2,543
85,CKSAAGP_negativecharger.alphaticr.gap2,454
86,CKSAAGP_negativecharger.aromatic.gap2,1223
87,CKSAAGP_negativecharger.postivecharger.gap2,2168
88,CKSAAGP_negativecharger.negativecharger.gap2,1636
89,CKSAAGP_negativecharger.uncharger.gap2,1045
90,CKSAAGP_uncharger.alphaticr.gap2,889
91,CKSAAGP_uncharger.aromatic.gap2,1415
92,CKSAAGP_uncharger.postivecharger.gap2,139
93,CKSAAGP_uncharger.negativecharger.gap2,806
94,CKSAAGP_uncharger.uncharger.gap2,56
95,CKSAAGP_alphaticr.alphaticr.gap3,143
96,CKSAAGP_alphaticr.aromatic.gap3,338
97,CKSAAGP_alphaticr.postivecharger.gap3,1060
98,CKSAAGP_alphaticr.negativecharger.gap3,1021
99,CKSAAGP_alphaticr.uncharger.gap3,819
100,CKSAAGP_aromatic.alphaticr.gap3,362
101,CKSAAGP_aromatic.aromatic.gap3,1780
102,CKSAAGP_aromatic.postivecharger.gap3,1247
103,CKSAAGP_aromatic.negativecharger.gap3,433
104,CKSAAGP_aromatic.uncharger.gap3,412
105,CKSAAGP_postivecharger.alphaticr.gap3,1143
106,CKSAAGP_postivecharger.aromatic.gap3,1118
107,CKSAAGP_postivecharger.postivecharger.gap3,707
108,CKSAAGP_postivecharger.negativecharger.gap3,1182
109,CKSAAGP_postivecharger.uncharger.gap3,801
110,CKSAAGP_negativecharger.alphaticr.gap3,246
111,CKSAAGP_negativecharger.aromatic.gap3,2389
112,CKSAAGP_negativecharger.postivecharger.gap3,2191
113,CKSAAGP_negativecharger.negativecharger.gap3,1010
114,CKSAAGP_negativecharger.uncharger.gap3,1548
115,CKSAAGP_uncharger.alphaticr.gap3,1033
116,CKSAAGP_uncharger.aromatic.gap3,904
117,CKSAAGP_uncharger.postivecharger.gap3,88
118,CKSAAGP_uncharger.negativecharger.gap3,928
119,CKSAAGP_uncharger.uncharger.gap3,39
120,CKSAAGP_alphaticr.alphaticr.gap4,66
121,CKSAAGP_alphaticr.aromatic.gap4,931
122,CKSAAGP_alphaticr.postivecharger.gap4,1054
123,CKSAAGP_alphaticr.negativecharger.gap4,805
124,CKSAAGP_alphaticr.uncharger.gap4,983
125,CKSAAGP_aromatic.alphaticr.gap4,1064
126,CKSAAGP_aromatic.aromatic.gap4,2132
127,CKSAAGP_aromatic.postivecharger.gap4,1513
128,CKSAAGP_aromatic.negativecharger.gap4,1616
129,CKSAAGP_aromatic.uncharger.gap4,1121
130,CKSAAGP_postivecharger.alphaticr.gap4,1036
131,CKSAAGP_postivecharger.aromatic.gap4,1536
132,CKSAAGP_postivecharger.postivecharger.gap4,619
133,CKSAAGP_postivecharger.negativecharger.gap4,1652
134,CKSAAGP_postivecharger.uncharger.gap4,874
135,CKSAAGP_negativecharger.alphaticr.gap4,442
136,CKSAAGP_negativecharger.aromatic.gap4,698
137,CKSAAGP_negativecharger.postivecharger.gap4,1770
